#装備ステータス欄,,,,,,,,,,,,,,,
#背景,,,,,,,,,,,,,,,
JSGAMECLGCommonWindow,装備ステータス欄背景,Result-Item-Wepon_Window,2000,TRUE,./data/img/common/window15x15.png,15,15,370,275,235,32,,,,
#ラベル部品,,,,,,,,,,,,,,,
JSGAMECLGCommonText,HPラベル,Result-Item-Wepon_HP-Label,2001,TRUE,383,288,HP :+,middle,textFront,textShadow,,,13,13,
JSGAMECLGCommonText,MPラベル,Result-Item-Wepon_MP-Label,2001,TRUE,463,288,MP :+,middle,textFront,textShadow,,,80,20,
JSGAMECLGCommonText,CAPラベル,Result-Item-Wepon_CAP-Label,2001,TRUE,543,288,CAP:+,middle,textFront,textShadow,,,45,,
JSGAMECLGCommonText,ATKラベル,Result-Item-Wepon_ATK-Label,2001,TRUE,383,308,ATK:+,middle,textFront,textShadow,,,,,
JSGAMECLGCommonText,DEFラベル,Result-Item-Wepon_DEF-Label,2001,TRUE,463,308,DEF:+,middle,textFront,textShadow,,,,,
JSGAMECLGCommonText,SPDラベル,Result-Item-Wepon_SPD-Label,2001,TRUE,543,308,SPD:+,middle,textFront,textShadow,,,,,
#値部品,,,,,,,,,,,,,,,
JSGAMECLGCommonText,HP,Result-Item-Wepon_HP,2001,TRUE,428,288,サン,middle,textFront,textShadow,,,,,
JSGAMECLGCommonText,MP,Result-Item-Wepon_MP,2001,TRUE,508,288,サン,middle,textFront,textShadow,,,,,
JSGAMECLGCommonText,CAP,Result-Item-Wepon_CAP,2001,TRUE,588,288,サン,middle,textFront,textShadow,,,,,
JSGAMECLGCommonText,ATK,Result-Item-Wepon_ATK,2001,TRUE,428,308,サン,middle,textFront,textShadow,,,,,
JSGAMECLGCommonText,DEF,Result-Item-Wepon_DEF,2001,TRUE,508,308,サン,middle,textFront,textShadow,,,,,
JSGAMECLGCommonText,SPD,Result-Item-Wepon_SPD,2001,TRUE,588,308,サン,middle,textFront,textShadow,,,,,
