#装備ステータス欄,,,,,,,,,,,,,,
#背景,,,,,,,,,,,,,,
JSGAMECLGCommonWindow,装備ステータス欄背景,SYS-Korin-Wepon_Window,2000,TRUE,./data/img/common/window15x15.png,15,15,370,275,235,32,,,
#ラベル部品,,,,,,,,,,,,,,
JSGAMECLGCommonText,HPラベル,SYS-Korin-Wepon_HP-Label,2001,TRUE,383,288,HP :+,middle,textFront,textShadow,,,13,13
JSGAMECLGCommonText,MPラベル,SYS-Korin-Wepon_MP-Label,2001,TRUE,463,288,MP :+,middle,textFront,textShadow,,,80,20
JSGAMECLGCommonText,CAPラベル,SYS-Korin-Wepon_CAP-Label,2001,TRUE,543,288,CAP:+,middle,textFront,textShadow,,,45,
JSGAMECLGCommonText,ATKラベル,SYS-Korin-Wepon_ATK-Label,2001,TRUE,383,308,ATK:+,middle,textFront,textShadow,,,,
JSGAMECLGCommonText,DEFラベル,SYS-Korin-Wepon_DEF-Label,2001,TRUE,463,308,DEF:+,middle,textFront,textShadow,,,,
JSGAMECLGCommonText,SPDラベル,SYS-Korin-Wepon_SPD-Label,2001,TRUE,543,308,SPD:+,middle,textFront,textShadow,,,,
#値部品,,,,,,,,,,,,,,
JSGAMECLGCommonText,HP,SYS-Korin-Wepon_HP,2001,TRUE,428,288,サン,middle,textFront,textShadow,,,,
JSGAMECLGCommonText,MP,SYS-Korin-Wepon_MP,2001,TRUE,508,288,サン,middle,textFront,textShadow,,,,
JSGAMECLGCommonText,CAP,SYS-Korin-Wepon_CAP,2001,TRUE,588,288,サン,middle,textFront,textShadow,,,,
JSGAMECLGCommonText,ATK,SYS-Korin-Wepon_ATK,2001,TRUE,428,308,サン,middle,textFront,textShadow,,,,
JSGAMECLGCommonText,DEF,SYS-Korin-Wepon_DEF,2001,TRUE,508,308,サン,middle,textFront,textShadow,,,,
JSGAMECLGCommonText,SPD,SYS-Korin-Wepon_SPD,2001,TRUE,588,308,サン,middle,textFront,textShadow,,,,
